Code,Groundedness,Density,Groups,Number of Groups,Comment,Creator,Creation Date,Modifier,Modification Date
"""Safe"" API",17,0,Encapsulation,1,A safe encapsulation does not guarantee memory safety—one can be uncertain about whether or not their encapsulation is correct.,Author 1,8/8/23,Author 1,8/8/23
Allocation & Alignment Bug,6,0,New Bug Categories,1,Related to the requirements of allocators or the alignment of memory,Author 1,9/6/23,Author 1,9/6/23
Allocation in Rust,11,0,FFI Memory Model,1,Using Rc or Box as a general-purpose allocator,Author 1,8/8/23,Author 1,8/8/23
Arc<T>/Rc<T>,20,0,Types,1,An atomic or non-atomic reference-counted heap allocation.,Author 1,8/7/23,Author 1,8/7/23
Architecture Dependent Problem,2,0,Bug Categories,1,"A bug that relates to an architectural dependency. For example, a function works on certain systems, but doesn't on others.",Author 1,8/9/23,Author 1,9/5/23
As Documentation,4,0,Why unsafe?,1,Whenever unsafe is used to indicate a precondition or postcondition for safety,Author 1,8/6/23,Author 1,9/6/23
ASAN,6,0,Tools,1,Address Sanitizer,Author 1,9/2/23,Author 1,9/5/23
Atomic Intrinsics,4,0,Unsafe Features,1,,Author 1,9/2/23,Author 1,9/5/23
Audience-Dependent Documentation,5,0,Documentation,1,"Choosing to write documentation differently, or at all, depending on the expected audience for it.",Author 1,8/6/23,Author 1,8/7/23
Audience-specific Reasoning,4,0,Reasoning,1,"Reasoning about code differently, or judging it differently, depending on the audience that will use it.",Author 1,8/10/23,Author 1,8/10/23
AWS Shuttle,3,0,Tools,1,,Author 1,9/5/23,Author 1,9/5/23
Becoming the Borrow Checker,6,0,C++ vs. Rust,1,Describing how C++ developers need to reason about memory safety in the same way that the borrow checker does.,Author 1,8/6/23,Author 1,8/7/23
bindgen,13,0,Tools,1,,Author 1,8/9/23,Author 1,9/3/23
Bindings are a Fiddly Mess,10,0,FFI Bindings,1,It's difficult to get FFI bindings or FFI encapsulations generated or built correctly without extensive configuration.,Author 1,9/3/23,Author 1,9/3/23
Bit Packing,1,0,Unsafe Features,1,,Author 2,9/6/23,Author 2,9/6/23
Boost,1,0,Tools,1,,Author 2,8/23/23,Author 1,9/5/23
Borrowing or Provenance Bug,7,0,New Bug Categories,1,Violations of stacked and tree borrows semantics.,Author 1,9/6/23,Author 1,9/6/23
Box<T>,36,0,Types,1,Merged from Box<T> Is Bad and Box<T>,Author 1,8/9/23,Author 1,8/9/23
Box<T> Bug,3,0,New Bug Categories,1,"Bugs involving misuse of Box. These may be temporal or spatial safety bugs too, but they are categorized here instead of stretching across multiple categories specifically due to some involvement with Box.",Author 1,9/6/23,Author 1,9/6/23
C++ is Difficult,18,0,C++ vs. Rust,1,Merged from C++ is Hard to Reason About and C++ is Difficult to Use,Author 1,9/1/23,Author 1,9/1/23
C++ is Easier to Use,2,0,C++ vs. Rust,1,The notion that C++ is easier to use than Rust for a particular task.,Author 1,8/8/23,Author 1,8/9/23
cbindgen,6,0,Tools,1,,Author 1,8/9/23,Author 1,9/3/23
Cell<T>,6,0,Types,1,Related to the type Cell<T>,Author 1,8/7/23,Author 1,8/10/23
Clippy Doesn't Find Bugs,2,0,Clippy,1,Clippy is not useful for finding bugs.,Author 1,8/9/23,Author 1,9/5/23
Clippy False Positive,2,0,Clippy,1,Clippy reports a false-positive error.,Author 2,8/20/23,Author 1,9/5/23
Clippy Finds Bugs,1,0,Clippy,1,Clippy can be useful for finding bugs.,Author 1,8/9/23,Author 1,9/5/23
Clippy for Clean Code,3,0,Clippy,1,Clippy is useful for maintaining high-quality code.,Author 1,8/9/23,Author 1,8/10/23
Clippy for Learning Rust,4,0,Clippy,1,Clippy is useful for learning Rust or keeping up to date with new language features.,Author 1,8/9/23,Author 1,9/5/23
Code Smells,6,0,Reasoning,1,A pattern of writing code that's indicative of some larger issue.,Author 1,8/6/23,Author 1,8/8/23
Compilation & Interpretation,5,0,Domain,1,Related to the implementation of compilers and interpreters for languages and formats that are not Rust.,Author 1,9/6/23,Author 1,9/6/23
Compiler Eliding Bounds Checks,4,0,Reasoning,1,Writing code in such a way that bounds checks will likely be elided by the compiler.,Author 1,8/8/23,Author 1,8/10/23
Concurrency Bug,6,0,New Bug Categories,1,Data races and deadlocks.,Author 1,9/6/23,Author 1,9/6/23
Contract or Invariant,35,0,Reasoning,1,"A particular condition, contract, or invariant that is assumed to hold, or that must hold in order for code to be sound or correct.",Author 1,9/5/23,Author 1,9/5/23
Crucible,1,0,"Formal Methods, Tools",2,,Author 2,8/29/23,Author 1,10/1/23
Cruft,2,0,C++ vs. Rust,1,"C++ has too much ""cruft"" that has built up over the years from language extensions.",Author 1,8/9/23,Author 1,9/1/23
Custom Allocator,6,0,Unsafe Features,1,,Author 1,8/9/23,Author 1,9/5/23
CXX,5,0,Tools,1,,Author 1,8/9/23,Author 1,9/3/23
Data Processing & Serialization,7,0,Domain,1,"Any application or library involved with serialization, deserialization, image encoding or decoding, or general-purpose data processing.",Author 1,9/6/23,Author 1,9/6/23
Data Races,4,0,Bug Categories,1,"When two or more threads access the same data without locking, and at least one of the accesses is writing. (https://docs.oracle.com/cd/E19205-01/820-0619/geojs/index.html)",Author 1,8/6/23,Author 1,8/9/23
"Data Structures, Primitives, and Operations",6,0,Domain,1,"Merged from Safe Destructuring of Types, Language Level Primitives and Lock-Free Concurrency",Author 1,9/6/23,Author 1,9/6/23
Databases,4,0,Domain,1,,Author 1,8/9/23,Author 1,8/10/23
Deadlock,1,0,Bug Categories,1,,Author 2,8/16/23,Author 1,9/5/23
Deallocate Foreign Memory in Rust,1,0,Bug Categories,1,Deallocating memory in language X that was allocated by language Y,Author 1,8/6/23,Author 1,8/9/23
Debugger,4,0,Tools,1,Any use or experience with a Rust debugger.,Author 1,8/9/23,Author 1,9/3/23
Different FFI Memory Model,29,0,FFI Memory Model,1,"The notion that there's an upper bound on safety for Rust codebases that use the FFI, or that it's difficult for people to reason about FFI behavior, requiring a certain amount of trust in correctness of code.",Author 1,8/8/23,Author 1,8/9/23
Difficult FFI,20,0,FFI Memory Model,1,Using Rust's FFI is difficult in this situation.,Author 1,8/8/23,Author 1,8/9/23
Difficult to Encapsulate,14,0,Encapsulation,1,"Due to some particular invariant or behavior, this unsafe code is difficult to write a safe encapsulation for.",Author 1,8/8/23,Author 1,8/8/23
Difficult to introduce,2,0,"Clippy, Miri",2,"Introducing this tool into an existing project is difficult, because there will immediately be bugs and issues to address.",Author 1,8/9/23,Author 1,9/5/23
Difficulty with Generated APIs,2,0,FFI Bindings,1,An error caused by using the output of a binding or encapsulation generation tool incorrectly,Author 1,8/9/23,Author 1,8/10/23
Diplomat,4,0,Tools,1,,Author 1,9/5/23,Author 1,9/5/23
Directionality,7,0,FFI Bindings,1,Discussing the direction of bindings to and from Rust and other languages.,Author 1,9/5/23,Author 1,9/5/23
Documented Contract or Invariant,14,0,Documentation,1,"Describing how contracts or invariants are communicated to users or consumers of a library, as well as maintainers, through documentation.",Author 1,8/8/23,Author 1,8/29/23
Double Free,1,0,Bug Categories,1,Freeing memory after it has already been freed.,Author 1,8/6/23,Author 1,8/9/23
Dynamic Analysis Safety Net,7,0,Validation,1,Compensating for uncertainty about correctness by running dynamic analysis tools.,Author 1,8/7/23,Author 1,9/3/23
Easier or More Ergonomic,15,0,Why unsafe?,1,"There is a stated or implied choice between using a safe pattern and using an unsafe pattern, but the participant chose the unsafe pattern due to the perception that it was easier to implement or validate.",Author 1,8/6/23,Author 1,8/7/23
Emscripten,1,0,Tools,1,,Author 1,9/2/23,Author 1,9/5/23
Engaging with the Rust Community,17,0,Community & Culture,1,"Reaching out to other Rust developers on the Discord, community forums, or any other public site for guidance.",Author 1,9/5/23,Author 1,9/5/23
Exposing a Safe API,20,0,Encapsulation,1,"This developer attempted to expose an entirely safe API to users, with or without compromises for ergonomics. Essentially, this should represent the community preference for safe APIs being put into action by developers. Any notion of preference held by the Rust community should fit under community and culture, though.",Author 1,9/2/23,Author 1,9/5/23
Exposing an Unsafe API to Users,9,0,Encapsulation,1,Whenever an unsafe API is exposed to users of a library.,Author 1,8/7/23,Author 1,8/7/23
"Extensive, Non-local Unsafe",7,0,"Encapsulation, Reasoning",2,"Unsafe code that is large in scope, or difficult to reason about without relying on non-local knowledge of the application domain. The opposite of ""Local, Minimal Unsafe.""",Author 1,9/2/23,Author 1,9/3/23
Fanboyish,4,0,Community & Culture,1,Choosing to use Rust because of a sense of emotional investment in the language and its community.,Author 1,8/8/23,Author 1,9/5/23
Fearless Concurrency,7,0,Benefits of Rust,1,It is easy to write multithreaded applications in Rust without encountering bugs.,Author 1,8/6/23,Author 1,8/7/23
Feature Disparity,16,0,C++ vs. Rust,1,An example of how Rust and C++ differ in language features or safety requirements.,Author 1,9/1/23,Author 1,9/5/23
FFI & Binding Bug,7,0,New Bug Categories,1,Bugs related to foreign function use or incorrect bindings.,Author 1,9/6/23,Author 1,9/6/23
For Fun,3,0,Why unsafe?,1,Using unsafe as part of a side project; for entertainment.,Author 1,8/6/23,Author 1,8/7/23
Formal verification,5,0,Validation,1,"Using a formal-methods-based tool, such as Prusti or Kani, to verify that code adheres to a certain property.",Author 2,8/16/23,Author 1,9/3/23
"From Raw, Wrong Pointer",2,0,Bug Categories,1,Using Box::from_raw or Rc::from_raw or similar methods from a memory container type on a pointer that didn't come from one of these types,Author 1,8/6/23,Author 1,8/9/23
Fuzzing,8,0,Validation,1,Validating code by fuzzing.,Author 1,8/7/23,Author 1,8/7/23
Game Development,3,0,Domain,1,Developing a video game using Rust.,Author 1,8/6/23,Author 1,8/7/23
Generate Bindings From a Subset,5,0,FFI Bindings,1,"Using a subset of your codebase as the source of truth from which to generate bindings using a tool like CXX, bindgen, or cbindgen",Author 1,8/8/23,Author 1,8/10/23
