rq,type,optional,gated_by,question_id,question
,meta,no,,StartDate,Start Date
,meta,no,,EndDate,End Date
,meta,no,,Status,Response Type
,meta,no,,Progress,Progress
,meta,no,,Duration (in seconds),Duration (in seconds)
,meta,no,,Finished,Finished
,meta,no,,RecordedDate,Recorded Date
,meta,no,,ResponseId,Response ID
,meta,no,,DistributionChannel,Distribution Channel
0,meta,no,,UserLanguage,User Language
,meta,no,,Q_RecaptchaScore,Q_RecaptchaScore
,meta,no,,Q_RelevantIDDuplicate,Q_RelevantIDDuplicate
,meta,no,,Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicateScore
,meta,no,,Q_RelevantIDFraudScore,Q_RelevantIDFraudScore
,meta,no,,Q_RelevantIDLastStartDate,Q_RelevantIDLastStartDate
,consent,no,,CQ1,I am age 18 or older.
,consent,no,,CQ2,I have read and understand the information above.
,consent,no,,CQ3,I want to participate in this research and continue with the survey.
,short_answer,no,,ELQ1,How many years of experience do you have using Rust?
,yn,no,,ELQ2,"Have you written, edited, read, audited, or engaged with unsafe Rust code in any way?"
,short_answer,no,,BQ1,How many years have you engaged with programming or the field of software engineering at-large? This includes acting in a professional capacity and as a hobby.
,short_answer,no,,BQ2,How many years of experience do you have using C?
,short_answer,no,,BQ3,How many years of experience do you have using C++?
0,freq_time,no,,BQ4,How frequently do you engage with unsafe Rust code in any way?
,yn,no,,BQ5,Have you ever committed unsafe Rust code to a public GitHub repository?
,yn,no,,BQ6,Do you regularly write new Rust code or edit existing Rust code within an unsafe block or function?
0,freq_time,no,,BQ7,How frequently do you write new Rust code or edit existing Rust code within an unsafe block or function?
,mc,no,,DMQ1,Which of the following types of applications have you developed or contributed to in any capacity using any programming language? - Selected Choice
,mc,no,,DMQ1_15_TEXT,Which of the following types of applications have you developed or contributed to in any capacity using any programming language? - Other - Text
,mc,no,,DMQ2,Which of the following types of applications have you developed or contributed in any capacity using Rust? - Selected Choice
,mc,no,,DMQ2_15_TEXT,Which of the following types of applications have you developed or contributed in any capacity using Rust? - Other - Text
0,yn,no,,DMQ3,Have you rewritten part or all of an application in Rust that was originally written in another language?
0,yn,no,,DMQ4,Have you authored or regularly contributed to a Rust crate that is published on crates.io?
0,yn,no,,DMQ5,Have you authored or regularly contributed to a Rust crate not published on crates.io?
3,ease,no,,DMQ6,"When you first started using Rust, was it easy or difficult to write code that passed the borrow checker?"
,mc,yes,,UFQ1,Which of the following Rust types have you used in an unsafe context for any purpose? - Selected Choice
,mc,yes,,UFQ1_13_TEXT,Which of the following Rust types have you used in an unsafe context for any purpose? - Other - Text
,mc,no,,UFQ2,Which of the following unsafe Rust features have you used? - Selected Choice
,mc,no,,UFQ2_13_TEXT,Which of the following unsafe Rust features have you used? - Other - Text
1,yn,no,,UFQ3,Have you contributed to a Rust crate that is designed to be used from at least one other language?
4,freq,no,,USCQ1,"When you choose to use UnsafeCell, how often are you certain that it is necessary to avoid undefined behavior?"
4,freq,no,,CUFQ1,"When you use an unsafe API, how often do you look for documentation to ensure that you meet all of its requirements for safety and correctness?"
